T_F,P_psi,DewP,BubbleP
32,1087.785,0.931,0.34
32,1450.38,0.924,0.029
32,2175.57,0.92,0.034
32,2900.76,0.911,0.039
32,4351.14,0.886,0.047
32,7251.9,0.909,0.056
32,14503.8,0.914,0.061
77,1189.3116,0.83,0.084
77,2175.57,0.867,0.049
77,2900.76,0.863,0.064
77,4351.14,0.0845,0.885
77,7251.9,0.84,0.102
77,14503.8,0.841,0.122
122,1087.785,0.644,0.032
122,1450.38,0.682,0.052
122,2175.57,0.716,0.104
122,2900.76,0.707,0.106
122,3625.95,0.69,0.13
167,1812.975,0.533,0.069
167,2175.57,0.556,0.091
167,2900.76,0.538,0.136
167,3524.4234,0.459,0.204
212,1189.3116,0.147,0.021
212,1450.38,0.231,0.039
212,2175.57,0.311,0.099
