T_F,P_psi,DewP,BubbleP
40,73.3,0,0
40,500,0.837,0.0021
40,1000,0.9144,0.004
40,1500,0.9401,0.0055
40,2000,0.9524,0.007
40,2500,0.9595,0.0085
40,3000,0.964,0.0102
40,3500,0.9664,0.012
40,4000,0.969,0.014
40,4500,0.9705,0.016
40,5000,0.9715,0.0181
40,5500,0.9718,0.0203
40,6000,0.972,0.0225
100,211.9,0,0
100,500,0.535,0.0025
100,1000,0.749,0.0056
100,1500,0.8183,0.0085
100,2000,0.8562,0.0115
100,2500,0.8779,0.0147
100,3000,0.8923,0.0181
100,3500,0.9033,0.0217
100,4000,0.911,0.0255
100,4500,0.9165,0.0295
100,5000,0.9215,0.0335
100,5500,0.9246,0.0375
100,6000,0.927,0.0413
160,492.8,0,0
160,500,0.0099,0.0001
160,1000,0.422,0.0065
160,1500,0.5765,0.0115
160,2000,0.6554,0.017
160,2500,0.7038,0.023
160,3000,0.7395,0.029
160,3500,0.764,0.035
160,4000,0.7831,0.041
160,4500,0.798,0.047
160,5000,0.8098,0.053
160,5500,0.8185,0.059
160,6000,0.8266,0.065
220,989.5,0,0
220,1000,0.0086,0.0004
220,1500,0.2162,0.0115
220,2000,0.33,0.0226
220,2500,0.4056,0.0336
220,3000,0.462,0.045
220,3500,0.5024,0.056
220,4000,0.5343,0.067
220,4500,0.558,0.0775
220,5000,0.5788,0.0885
220,5500,0.5952,0.0995
220,6000,0.6096,0.1105
250,1347,0,0
250,1500,0.053,0.0102
250,2000,0.1593,0.0309
250,2500,0.2332,0.049
250,3000,0.2795,0.065
250,3500,0.3128,0.0805
250,4000,0.336,0.0953
250,4500,0.3528,0.111
250,5000,0.3615,0.1247
250,5500,0.3679,0.1367
250,6000,0.3701,0.15
