T_F,P_psi,DewP,BubbleP
40,73.3,0,0
40,500,0.8364,0.0021
40,1000,0.9064,0.0043
40,1500,0.927,0.0064
40,2000,0.9361,0.0083
40,2500,0.9395,0.0101
40,3000,0.94,0.0117
40,3500,0.9405,0.0131
40,4000,0.9408,0.0142
40,4500,0.941,0.0152
40,5000,0.9415,0.0161
40,5500,0.942,0.0168
40,6000,0.943,0.0175
100,211.9,0,0
100,500,0.52,0.0027
100,1000,0.718,0.0071
100,1500,0.7905,0.0113
100,2000,0.8275,0.0152
100,2500,0.8461,0.0188
100,3000,0.855,0.0221
100,3500,0.8605,0.0251
100,4000,0.8635,0.0278
100,4500,0.8655,0.0303
100,5000,0.8675,0.0327
100,5500,0.869,0.0349
100,6000,0.87,0.0369
160,492.8,0,0
160,500,0.0103,0.0001
160,1000,0.409,0.0084
160,1500,0.5408,0.0162
160,2000,0.6055,0.0239
160,2500,0.6452,0.0315
160,3000,0.6695,0.0389
160,3500,0.682,0.0463
160,4000,0.6885,0.053
160,4500,0.692,0.0595
160,5000,0.694,0.0658
160,5500,0.695,0.0718
160,6000,0.6955,0.0777
220,989.5,0,0
220,1000,0.0105,0.0005
220,1500,0.1975,0.0163
220,2000,0.285,0.0324
220,2500,0.3333,0.0502
220,3000,0.354,0.07
220,3500,0.364,0.0944
220,4000,0.3628,0.1262
220,4500,0.32,0.1555
250,1347,0,0
250,1500,0.051,0.0089
250,2000,0.129,0.0379
250,2500,0.1315,0.0696
