T_C,P_sat_bar,rho_liq_NH3,rho_vap_NH3,h_liq_NH3,h_vap_NH3,rho_H2,h_H2_kJkg
-50,0.40776,701.74,0.38016,120.38,1537.7,0.044289,2873.7
-49,0.43252,700.56,0.40169,124.79,1539.3,0.046769,2887.49
-48,0.4585,699.37,0.4242,129.2,1541,0.049358,2901.33
-47,0.48576,698.18,0.44772,133.61,1542.6,0.052061,2915.18
-46,0.51434,696.99,0.47228,138.03,1544.2,0.05488,2929.02
-45,0.54429,695.79,0.49793,142.45,1545.8,0.057819,2942.91
-44,0.57566,694.6,0.52469,146.88,1547.5,0.060884,2956.76
-43,0.6085,693.4,0.5526,151.31,1549.1,0.064075,2970.66
-42,0.64285,692.2,0.5817,155.74,1550.7,0.067396,2984.55
-41,0.67878,690.99,0.61202,160.18,1552.2,0.070855,2998.48
-40,0.71633,689.78,0.6436,164.62,1553.8,0.074451,3012.39
-39,0.75557,688.57,0.67648,169.06,1555.4,0.078194,3026.29
-38,0.79653,687.36,0.7107,173.51,1556.9,0.082081,3040.24
-37,0.83929,686.14,0.74629,177.96,1558.5,0.086117,3054.18
-36,0.8839,684.92,0.7833,182.42,1560,0.090312,3068.13
-35,0.93042,683.7,0.82177,186.88,1561.5,0.094663,3082.13
-34,0.97891,682.48,0.86174,191.35,1563,0.099184,3096.08
-33,1.0294,681.25,0.90325,195.82,1564.5,0.103847,3110.08
-32,1.082,680.01,0.94634,200.29,1566,0.108692,3124.08
-31,1.1368,678.78,0.99106,204.77,1567.5,0.113704,3138.08
-30,1.1938,677.54,1.0374,209.25,1569,0.118899,3152.08
-29,1.253,676.3,1.0856,213.73,1570.5,0.124268,3166.08
-28,1.3146,675.05,1.1354,218.22,1571.9,0.129831,3180.14
-27,1.3786,673.81,1.1871,222.71,1573.3,0.135583,3194.15
-26,1.4451,672.55,1.2406,227.21,1574.8,0.141533,3208.2
-25,1.5142,671.3,1.2961,231.71,1576.2,0.147689,3222.26
-24,1.5859,670.04,1.3535,236.22,1577.6,0.154046,3236.31
-23,1.6603,668.78,1.4128,240.72,1579,0.160615,3250.42
-22,1.7374,667.51,1.4743,245.24,1580.4,0.167391,3264.49
-21,1.8174,666.24,1.5378,249.76,1581.7,0.17439,3278.6
-20,1.9003,664.97,1.6035,254.28,1583.1,0.181611,3292.67
-19,1.9861,663.69,1.6714,258.8,1584.4,0.189053,3306.78
-18,2.0751,662.41,1.7416,263.33,1585.8,0.196735,3320.89
-17,2.1672,661.12,1.814,267.87,1587.1,0.204653,3335.02
-16,2.2625,659.83,1.8889,272.41,1588.4,0.212811,3349.14
-15,2.3611,658.54,1.9661,276.95,1589.7,0.221212,3363.3
-14,2.4631,657.24,2.0458,281.5,1591,0.229864,3377.44
-13,2.5685,655.94,2.1281,286.05,1592.2,0.238767,3391.61
-12,2.6775,654.64,2.213,290.61,1593.5,0.247938,3405.78
-11,2.7901,653.33,2.3005,295.17,1594.7,0.257369,3419.95
